id,text,category
1409416455200858113,"🏳️‍🌈Todas ellas coinciden, además, en que la prioridad de la lucha #LGTBI en este #Orgullo2021 está en la aprobación de la #LeyTrans.",HS
1409453454372884480," Que impotencia y que rabia! Gracias por compartirlo, un abrazo grande y feliz dia #OrgulloLGTBI 🏳️‍🌈",HS
1409390524369358849,Cada 28 de Junio me levanto escuchando Born This Way. Sigue siendo un himno. Porque cada persona del colectivo #LGTB+ nació así. Porque nadie escogería a propósito una vida de opresión.Sigamos luchando por nuestra dignidad.Feliz #Orgullo #Orgullo2021,HS
1409159127532818432,"El #28J representa a mi entender y demuestra, que la utopía no es un sueño, no es sólo un deseo, es esperanza, es una promesa que nos hacemos. Si hay algo que nos hace iguales a las personas es la necesidad de amar y ser amado.#LGTBI #LOVEISLOVE #diversidad #España",HS
1416871411965104129,Gran gesto de por emitir ahora en pleno prime time #ConAmorSimon #LoveSimon.A ver si empiezan entender por qué muchas personas #lgtbi no se atreven a salir del armario con la familia.Ojalá más cine y visibilidad #LGTBIQ en la tele.,HS
1411769172334370820,"La violencia, agresiones y muerte de una persona no se puede permitir, ni justificarse en pleno siglo XXI. Siento más mi #Orgullo2021 🏳️‍🌈 #LGBT ante tantos ataques de los últimos días.❤️🧡💛💚💙💜🤎🖤",HS
1409543036703588359,42 años después en el 2021la humanidad sigue sin comprender que el amor es libre y puro sin importar entre quienes se profesa con respeto y cariño no permitiendo que miles de niños sin hogar pudieran tener una familia porque NO SON UNA PAREJA NORMAL #Orgullo2021 #OrgulloLGTBI,HS
1412059353390194697,"Un chaval de 24 años asesinado a golpes en España por el simple hecho de ser homosexual, madre mia parece que en vez de ir para alante vamos para atras,no nos cuesta nada respetar la orientacion sexual de la gente, tan dificil no es. #RESPETO #LGTBI",HS
1409577259111960580,"En este mes, conozco tantas historias bonitas o crueles pero todas marcan historia y todas nos enseñan a salir a flote... Al final uno debe sentirse orgullo de ser quien es y de amar a quien nos de la gana!!!! ❤️ #OrgulloLGTBI",HS
1409459497249222658,Feliz día de la diversidad afectivo-sexual y de la autodeterminación.Hoy simplemente se tú. #OrgulloLGTBI #Orgullo2021,HS
1409557458083848193,"Hilo- Hoy en día del #OrgulloLGTBI hoy más que nunca los derechos civiles , deben ser sobre el individuo sin excluir a nadie por sus gusto, orientaciones  o religión . Eso ya es de libertad del individuo.  Pero tampoco caigamos en leyes especiales para personas o grupos 👇",HS
1412222543084273669,"Me siento muy sensible hablar de estas cosas, porque creo que en estos tiempos que corren tenemos miedo. Tenemos miedo de salir a la calle y que nos desprecien por ser del colectivo #LGTBI . Ya basta de hacer daño +👇",HS
